AccID	138011N	138011T	138228N	138228T	138239N	138239T
LOC105376845	0	0	0	3	0	3
DAB2IP	125	263	98	589	123	557
LOC105376826	0	0	0	0	0	0
LOC105376827	0	0	0	0	0	0
LOC105376828	0	0	0	0	0	0
LOC105376829	0	0	0	0	0	0
FGFR3P6	0	0	0	0	0	0
LOC105376834	0	0	0	0	0	0
LOC105376836	0	0	1	0	0	0
FGFR3P2	0	0	0	0	0	0
LOC105376830	0	0	0	0	0	0
FGFR3P3	0	0	0	0	0	0
FGFR3P4	0	0	0	0	0	0
LOC105376832	0	0	0	0	0	0
FGFR3P5	0	0	0	0	0	0
ERVV-2	0	0	0	0	0	0
RNU6-699P	0	0	0	0	0	0
ERVV-1	0	0	0	0	0	0
FGFR3P1	0	0	0	0	0	0
CDKN3	4	36	4	54	10	40
EXOC3L1	9	8	14	13	9	31
EXOC3L2	11	20	17	28	12	30
EXOC3L4	198	57	139	70	109	8
MFSD13A	41	45	26	34	16	50
MFSD13B	0	0	0	1	0	0
IBSP	0	13	0	12	0	10
PSKH2	0	0	0	0	0	0
RNU6-694P	0	0	0	0	0	0
VN1R57P	0	0	0	0	0	0
PSKH1	25	16	9	21	6	37
CDKL2	11	0	1	0	2	0
CDKL3	8	9	4	5	10	4
RNU6-693P	0	0	0	0	0	0
CDKL4	7	6	0	9	9	1
CDKL5	95	54	51	276	99	50
OR14C36	0	0	0	0	0	0
POLRMT	194	242	201	188	196	628
VN1R58P	0	0	0	0	0	0
CDKL1	16	3	10	126	16	34
KHDRBS1	271	364	285	910	404	621
KHDRBS2	3	0	0	0	3	0
KHDRBS3	28	55	51	10	39	67
AGAP11	37	2	3	10	14	7
SLC47A1P1	1	0	4	1	4	0
MOBP	0	0	0	0	0	0
VN1R55P	0	0	0	0	0	0
LOC399815	2	0	0	3	0	2
RNU6-696P	0	0	0	0	0	0
TMPRSS12	0	0	0	0	0	0
TMPRSS13	4	2	1	4	1	0
TMPRSS15	0	12	0	0	0	0
MOB4	33	49	28	43	32	32
IBTK	57	24	24	11	131	27
MOB2	25	30	18	53	26	73
TMEM51-AS1	2	0	2	7	0	2
TRNAL-CAA	0	0	0	0	0	0
RNU6-695P	0	0	0	0	0	0
VN1R56P	0	0	0	0	0	0
SP140L	112	117	118	349	173	104
RNU6-690P	0	0	0	0	0	0
MIR1260A	0	0	0	0	0	0
MIR1260B	0	0	0	0	0	0
MBL1P	3	6	4	0	3	1
LOC100130990	0	0	0	0	0	0
LOC100130992	0	0	0	0	0	0
MMS22L	50	49	42	207	50	73
LOC399886	0	0	0	2	0	0
RNU6-692P	0	0	0	0	0	0
GTPBP10	119	127	139	99	171	69
TRS-CGA2-1	0	0	0	0	0	0
VN1R59P	0	0	0	0	0	0
CYP2AC1P	0	0	0	0	0	0
TRW-CCA5-1	0	0	0	0	0	0
MFSD14A	206	168	134	327	178	106
MFSD14B	87	37	55	431	99	164
MFSD14C	26	10	18	61	11	67
HNRNPRP1	0	0	0	0	0	0
HNRNPRP2	0	0	0	0	0	0
HNRNPRP3	0	0	0	0	0	0
SMARCB1	1	47	0	3	0	7
LOC100129957	0	0	0	0	0	0
LOC100996255	5	0	2	4	1	0
LOC100129955	0	0	0	0	0	0
LOC100129956	0	0	0	0	0	0
LOC100996251	0	0	0	0	0	0
IFNL4P1	0	0	0	0	0	0
VN1R61P	0	0	0	0	0	0
PTGFRN	49	111	51	463	44	565
LOC100130950	26	14	11	15	8	4
SMARCC1	310	548	417	638	503	916
SMARCC2	494	711	487	1110	563	1222
LOC100129948	0	0	0	0	0	0
LOC100129949	0	0	0	0	0	0
TALDO1	428	1015	816	718	585	5436
TRAF3IP2-AS1	7	4	9	10	11	3
MOGS	26	36	29	44	19	26
LOC100129947	0	0	0	0	0	0
LOC100996263	0	0	0	0	0	0
TRW-CCA4-1	0	0	0	0	0	0
LOC100129942	0	0	0	0	0	0
LOC100996262	0	0	0	0	0	0
LOC100129940	0	0	0	0	0	0
VN1R62P	0	0	0	0	0	0
LOC100130964	0	0	0	0	0	0
MBL3P	0	0	0	0	0	0
LOC100129935	0	0	0	0	0	0
LOC100996274	0	1	1	0	0	1
LOC100129931	0	0	0	0	0	0
SERPINB9P1	1	2	0	1	3	9
RANBP17	62	124	90	7	58	0
SMARCA5	565	501	640	795	911	579
LOC100129924	1	1	0	0	0	0
LOC100996288	0	0	0	0	0	0
SMARCA1	898	1637	1182	988	1337	513
SMARCA2	859	938	1017	1183	1056	550
LOC100129923	0	0	0	0	0	0
LOC100996286	2	0	0	0	0	0
LOC100996284	0	0	0	0	0	0
SMARCA4	245	449	255	1879	299	1285
LOC100130987	1	3	0	21	0	12
VN1R60P	0	0	0	0	0	0
ECHDC1	144	186	147	185	144	104
RANBP10	144	156	184	109	137	308
ECHDC2	657	775	1588	223	965	445
ECHDC3	18	76	147	79	173	106
NOL10	174	362	228	364	237	229
NOL11	293	507	226	404	346	287
NOL12	29	64	47	73	52	476
SUCLG2-AS1	36	22	46	24	24	6
ICA1	44	107	22	18	97	26
MFSD1P1	0	0	0	0	0	0
LOC100130909	0	0	0	0	0	0
LOC100129997	0	0	0	0	0	0
LOC100129996	0	0	0	0	0	0
VN1R65P	0	0	0	0	0	0
LOC100129989	0	0	0	0	0	0
DUS2	54	41	38	68	47	157
VN1R66P	0	0	0	0	0	0
JAZF1-AS1	0	0	0	1	0	0
HSD17B3	50	65	54	7	38	31
HSD17B4	1911	2692	3617	658	3260	841
HSD17B6	1545	3968	2534	118	1474	340
HSD17B7	156	254	60	45	103	57
HSD17B8	1	0	0	0	0	0
VN1R63P	0	0	0	0	0	0
LOC100129973	0	0	1	3	0	5
RANBP3L	185	106	64	9	136	0
HSD17B1	0	0	0	2	0	0
LOC100130936	0	0	0	0	0	0
HSD17B2	488	580	485	10	711	397
CHRNA10	1	0	0	1	0	5
TRT-AGT3-1	0	0	0	0	0	0
RNA5S14	0	0	0	0	0	0
RNA5S15	0	0	0	0	0	0
RNA5S12	0	0	0	0	0	0
MON2	1223	1184	896	1451	1307	374
RNA5S13	0	0	0	0	0	0
RNA5S10	0	0	0	0	0	0
RNA5S11	0	0	0	0	0	0
LOC100996246	0	0	0	0	0	0
LOC100129966	0	0	0	0	0	0
RNA5S16	0	0	0	0	0	0
RNA5S17	0	0	0	0	0	0
LOC399900	0	0	0	0	0	0
NOL4L	29	21	21	199	27	183
VN1R64P	0	0	0	0	0	0
LOC100996249	0	0	0	0	0	0
LOC100996247	0	0	0	0	0	0
ICE1	148	156	128	329	181	117
ICE2	287	270	200	538	259	107
LOXL3	28	7	26	85	17	39
LOXL4	35	166	7	228	11	121
DUX4	0	0	0	0	0	0
LOXL1	19	3	0	164	7	27
LOXL2	43	36	33	413	21	385
TEKT1	0	0	0	0	0	0
TEKT2	0	0	0	18	0	0
TEKT3	0	0	0	3	0	0
DUXA	0	0	0	0	0	0
TEKT4	0	0	0	0	0	0
TEKT5	0	3	6	10	5	0
MORC3	476	438	494	483	745	272
MORC4	95	114	128	652	103	119
MIR124-2HG	0	0	0	0	0	0
LOC100286895	0	0	0	0	0	0
WBP11P1	0	0	0	0	0	0
LOC100272217	0	0	0	0	0	0
SHARPIN	63	116	76	219	60	772
VILL	25	7	9	31	26	49
MORC1	2	1	0	1	2	0
MORC2	205	433	251	486	257	1473
QSER1	208	180	155	554	221	233
USMG5P1	0	0	0	0	0	0
VIL1	146	695	76	65	236	1122
NXF2B	0	0	0	0	0	0
MRPL42P5	0	0	0	0	0	0
MRPL42P6	0	0	0	0	0	0
MRPL42P1	0	0	0	0	0	0
MRPL42P2	0	0	0	0	0	0
MRPL42P3	0	0	0	0	0	0
LOC100129917	1	0	0	4	0	4
MRPL42P4	0	0	0	0	0	0
ACTG1P22	0	0	0	0	0	0
LOC105376789	17	9	12	0	13	0
ACTG1P23	0	0	0	0	0	0
ACTG1P24	0	0	0	0	0	0
CDC42EP3P1	0	0	0	0	0	0
LOC105376786	0	0	0	0	0	0
ACTG1P20	0	0	0	0	0	0
RB1CC1	511	813	561	558	601	653
LOC105376787	0	0	0	0	0	0
ACTG1P21	0	0	0	0	0	0
LOC105376781	10	11	1	10	4	4
LOC105376778	0	0	0	0	0	0
LOC105376774	0	0	0	0	0	0
LOC105376775	0	0	0	0	0	0
TRY-ATA1-1	0	0	0	0	0	0
LOC105376777	0	0	0	0	0	0
LOC105376772	0	0	0	0	0	0
RAD51-AS1	4	0	0	7	2	0
VIMP	56	126	95	138	88	150
CDKN2A-AS1	0	0	0	0	0	0
SEPHS1P1	0	0	0	0	0	0
SEPHS1P2	0	0	0	0	0	0
SEPHS1P3	0	0	0	0	0	0
SEPHS1P4	0	0	0	0	0	0
SEPHS1P6	0	0	0	0	0	0
SEPHS1P7	0	0	0	0	0	0
PPP3CB-AS1	15	9	10	3	8	13
ACTG1P11	0	0	0	0	0	0
ACTG1P12	0	0	0	0	0	0
ACTG1P13	0	0	0	0	0	0
ACTG1P14	0	0	0	0	0	0
MIR125B1	0	0	0	0	0	0
MIR125B2	0	0	0	0	0	0
LOC105376799	0	0	0	0	0	0
ACTG1P10	0	0	0	0	0	0
ACTG1P19	0	0	0	0	0	0
LOC105376794	0	0	0	0	0	0
MORF4	0	0	0	0	0	0
ACTG1P15	0	0	0	0	0	0
TMEM183AP1	0	0	0	0	0	0
ACTG1P16	0	0	0	0	0	0
ACTG1P17	0	0	0	1	0	0
ACTG1P18	0	0	0	0	0	0
LOC105376791	0	0	0	1	0	0
GOT2P2	0	0	0	0	0	0
GOT2P3	0	0	0	0	0	0
GOT2P4	0	0	0	0	0	0
GOT2P5	0	0	0	0	0	0
GOT2P1	0	0	0	0	0	0
LOC105376987	4	3	0	0	2	0
LOC105376988	0	0	0	0	0	0
LOC105376989	0	0	0	0	0	0
LOC105376984	0	0	0	0	0	0
LOC105376985	0	1	0	0	0	0
LOC105376980	0	0	0	0	0	0
DHRS4L1	3	4	6	5	3	4
LOC105376981	0	0	0	0	0	0
DHRS4L2	15	35	29	30	27	58
LOC105376982	0	1	0	0	0	0
LOC100286922	0	0	0	0	0	0
TRIM39-RPP21	0	0	0	0	0	0
FNDC3B	1079	1199	1176	1885	1098	2211
FNDC3A	1717	1831	1679	935	1798	308
LOC105376976	0	0	0	0	0	0
LOC105376978	0	0	0	0	0	0
LOC105376972	0	0	0	0	0	0
LOC105376975	0	0	0	0	0	0
ERVW-1	0	0	0	0	0	0
LOC399783	0	0	0	0	0	0
RNPC3	303	506	214	198	260	108
FLRT2	10	0	1	109	2	0
FLRT3	11	15	8	105	14	4
FLRT1	0	0	0	0	0	0
LOC100286946	0	0	0	0	0	0
ICOS	6	1	1	32	11	0
LOC100286945	0	0	0	0	0	0
LOC100286942	0	0	0	0	0	0
STARD13	144	112	81	185	111	184
ICMT	36	74	110	236	54	65
STARD10	560	764	786	206	441	497
LOC155060	19	33	17	61	10	5
NEXN-AS1	0	0	0	0	0	0
LOC105376998	0	0	0	0	0	0
LOC105376995	0	0	0	0	0	0
LOC105376996	0	0	0	0	0	0
LOC105376997	0	0	0	0	0	0
LOC105376991	0	0	0	0	0	0
IGKV2OR22-3	0	0	0	0	0	0
LOC105376992	0	0	0	0	0	0
LOC100286958	0	0	0	0	0	0
IGKV2OR22-4	0	0	0	0	0	0
LOC105376993	0	0	0	1	0	0
NLGN4Y-AS1	0	0	0	0	0	0
ID2B	0	0	0	0	0	0
RBM43P1	0	0	0	0	0	0
LOC105376936	0	0	0	0	0	0
VSIG10	50	126	41	230	22	263
LOC105376938	0	0	0	0	0	0
LOC105376939	0	0	0	0	0	0
LOC105376943	0	0	0	0	0	0
LOC105376944	0	0	0	1	0	0
AIFM3	5	8	7	11	3	62
LOC105376945	0	0	0	0	0	0
AIFM1	363	705	804	388	526	313
AIFM2	63	157	51	69	45	153
LOC105376940	0	0	0	0	0	0
LOC105376941	0	0	0	0	0	0
LOC105376942	0	0	0	0	0	0
COL10A1	1	0	0	2	2	7
LOC145694	0	0	0	4	0	0
UBTFL10	0	0	0	0	0	0
UBTFL11	0	0	0	0	0	0
LOC105376926	0	0	0	0	0	0
LOC105376933	0	0	0	0	0	0
LOC105376934	0	0	0	0	0	4
ZNF664-FAM101A	2	0	0	1	0	4
HEATR5A	396	505	368	628	415	286
LUADT1	0	0	0	0	0	0
HEATR5B	659	587	531	706	733	383
MIR4472-1	0	0	0	0	0	0
MIR4472-2	0	0	0	0	0	0
LOC105376958	0	0	0	0	0	0
LOC105376959	0	0	0	1	0	0
LOC131054	0	0	0	0	0	0
DHRSX	0	0	0	0	0	2
LOC131055	0	0	0	0	0	0
GPC5-AS2	0	0	0	0	0	0
LOC105376961	0	0	0	0	0	0
ICT1	53	85	50	61	45	117
LOC105376963	0	2	1	0	0	0
GPC5-AS1	0	0	0	0	0	0
LOC105376964	0	0	0	0	0	0
LOC105376960	0	0	0	0	0	0
DHRS1	369	649	465	64	474	140
DHRS2	34	273	129	7	33	11
DHRS3	652	1210	859	194	616	1362
LOC105376949	0	0	0	0	0	0
DHRS4	136	174	164	65	166	104
LOC105376955	0	0	0	0	0	0
DHRS7	364	1198	539	405	198	349
LOC105376956	0	0	0	0	0	0
LOC105376957	0	0	0	0	0	0
DHRS9	16	11	6	48	14	5
LOC105376950	0	0	0	1	0	0
LOC105376951	1	0	2	0	1	3
LOC105376952	0	0	0	0	0	0
OR2AD1P	0	0	0	0	0	0
LOC105376901	0	0	0	0	0	0
CYSLTR1	10	2	2	4	12	0
CYSLTR2	0	1	2	18	4	0
MPC1	340	633	728	102	532	77
MPC2	188	415	341	165	327	950
LOC399715	2	1	0	8	1	2
VN1R45P	0	0	0	0	0	0
MB21D2	0	0	0	2	1	5
LOC399716	1	0	0	2	0	0
MB21D1	22	5	16	53	17	14
STAMBP	120	184	118	187	145	172
VN1R46P	0	0	0	0	0	0
PCDHGB9P	0	0	0	0	0	0
LOC105376914	0	0	0	0	0	0
LOC105376917	0	0	0	0	0	0
LOC105376921	0	0	0	0	0	0
FLJ46906	7	8	2	1	1	3
LOC105376922	0	0	0	0	0	0
VN1R43P	0	0	0	0	0	0
LOC105376923	0	0	0	0	0	0
LOC105376924	0	0	0	0	0	0
DVL1	154	192	135	227	144	512
DVL2	92	82	53	160	56	195
DVL3	139	275	185	682	178	655
MPDZ	1715	1288	1749	884	2170	240
LOC105376906	0	0	0	0	0	0
LOC105376910	0	0	0	0	0	0
CTC-338M12.4	0	1	2	1	2	3
LOC105376912	0	0	0	0	0	0
INS-IGF2	255	1	458	13	244	6
VN1R44P	0	0	0	0	0	0
TRS-CGA1-1	0	0	0	0	0	0
ADAMTS4	5	7	6	69	5	38
ECM1P1	0	0	0	0	0	0
ADAMTS5	127	28	44	83	29	36
ADAMTS2	324	81	258	460	264	235
LOC100130876	0	2	0	8	3	3
ADAMTS3	16	4	3	5	5	4
DDX11L16	0	0	0	0	0	0
ADAMTS1	103	26	28	137	148	68
ECM1P2	0	0	0	0	0	0
RNPEP	267	396	203	529	253	1080
VN1R49P	0	0	0	0	0	0
ADAMTS8	0	0	0	10	0	0
ADAMTS9	188	141	67	3102	99	210
ADAMTS6	26	23	13	68	13	7
LOC100130872	14	13	6	1	2	15
ADAMTS7	23	5	25	176	26	76
DDX11L10	0	0	0	0	0	0
TRPC7	0	0	0	0	0	0
TRPC5	6	23	13	0	23	0
TRPC6	13	2	1	20	6	14
TRPC3	0	0	0	8	4	0
CYP2AB1P	0	6	0	0	0	0
TRPC4	10	5	1	7	3	0
TRPC1	54	15	7	143	25	16
TRPC2	3	0	2	2	0	1
MIR1273C	0	0	0	0	0	0
MIR1273D	0	0	0	0	0	0
PCDHGB8P	0	0	0	0	0	0
MIR1273E	0	0	0	0	0	0
MIR1273F	0	0	0	0	0	0
MIR1273G	0	0	0	0	0	0
MIR1273H	0	0	0	0	0	0
POLR1A	198	514	309	912	344	1196
MIR1273A	0	0	0	0	0	0
POLR1B	147	243	161	208	168	229
POLR1C	54	62	78	136	72	207
POLR1D	31	13	28	26	19	70
POLR1E	160	173	199	91	274	163
LOC100130880	0	0	0	0	0	0
LOC100130881	0	0	0	0	0	0
NUFIP1	31	64	43	40	46	49
NUFIP2	87	96	86	132	120	161
LOC100130899	0	0	0	0	0	0
POLR2A	852	826	862	1585	1019	1854
POLR2B	631	420	502	1205	654	388
POLR2C	137	125	138	123	112	294
POLR2D	27	17	17	52	18	30
POLR2E	162	262	246	176	181	403
POLR2F	37	70	44	49	61	354
POLR2G	75	50	51	161	42	92
LOC100130891	0	0	0	0	0	0
POLR2H	94	133	85	112	119	140
POLR2I	20	52	25	89	27	93
POLR2J	15	29	28	52	16	93
VN1R47P	0	0	0	0	0	0
POLR2K	84	79	55	153	66	96
POLR2L	44	34	38	66	21	141
KLRA1P	25	14	12	24	20	3
POLR2M	37	13	18	70	25	29
TRPA1	3	0	0	4	0	0
TMEM256-PLSCR3	11	8	18	46	8	31
POLR3A	216	315	205	278	242	552
POLR3B	234	321	230	308	319	109
POLR3C	135	172	119	301	170	748
POLR3D	29	35	39	76	38	96
POLR3E	120	155	118	187	152	589
POLR3F	37	40	22	68	33	38
VN1R48P	0	0	0	0	0	0
POLR3G	2	7	3	8	15	5
POLR3H	40	69	50	92	37	139
POLR3K	11	10	1	24	4	59
H2AFVP1	0	0	0	0	0	0
LOC105748977	0	0	0	1	0	0
KLHDC7A	0	0	0	0	0	9
KLHDC7B	0	0	0	0	0	0
LOC100129830	0	0	0	0	0	0
TRT-AGT4-1	0	0	0	0	0	0
SEPP1	19543	12262	16829	1816	17502	1051
LOC100130841	0	0	0	0	0	0
LOC100130842	0	0	0	0	0	0
LOC100130843	0	0	0	0	0	0
ZW10	117	129	110	193	134	28
OR7E10P	0	0	0	0	0	0
KRTAP10-10	0	0	0	0	0	0
LOC100129818	0	0	0	0	0	0
KRTAP10-11	0	0	0	0	0	0
KRTAP10-12	0	0	0	0	0	0
LOC100130849	0	0	0	0	0	0
TRPM1	0	0	0	0	0	0
TRPM2	32	17	25	188	35	245
LOC100130854	0	0	0	0	0	0
TRPM7	1294	998	1490	891	1508	564
TRPM8	115	367	91	7	115	6
TRPM5	0	0	0	0	0	0
TRPM6	5	4	4	0	18	0
TRPM3	20	9	2	3	19	0
OR7E11P	0	0	0	0	0	0
TRPM4	57	48	49	133	38	442
TRW-CCA3-3	0	0	0	0	0	0
KLHDC8B	11	15	8	30	16	49
TRW-CCA3-1	0	0	0	0	0	0
TRW-CCA3-2	0	0	0	0	0	0
KLHDC8A	1	0	0	0	2	4
RNPS1	147	217	124	721	156	1164
AGAP7P	1	0	0	0	1	1
LOC100130861	0	0	0	0	0	0
LOC100129878	0	0	0	0	0	1
VN1R53P	0	0	0	0	0	0
OR7E13P	0	0	0	0	0	0
ISPD-AS1	0	0	0	0	0	0
LOC100129869	0	0	0	0	0	0
VN1R54P	0	0	0	0	0	0
LOC100130801	0	0	0	0	0	0
MPND	95	232	128	158	136	201
OR7E12P	0	0	0	1	0	0
PTGER4	7	3	10	10	9	2
PTGER1	0	0	0	0	0	0
PTGER2	1	0	1	1	0	0
PTGER3	4	0	0	2	2	0
LOC100129854	0	0	0	0	0	0
VN1R51P	0	0	0	0	0	0
SEPN1	135	120	132	1110	112	809
LOC100129851	0	0	0	0	0	0
TWISTNB	12	24	18	26	21	8
OR7E15P	0	0	0	0	0	0
MPP1	126	133	143	293	180	162
MPP2	4	1	0	48	1	6
MPP3	18	13	5	226	9	368
MPP4	1	1	1	2	3	4
PTGES2	51	60	82	138	52	371
PTGES3	360	643	493	918	533	678
LOC100129847	0	0	0	0	0	0
PKDREJ	0	0	0	0	0	0
MPP5	158	281	203	211	287	39
MPP6	244	266	131	364	262	210
MPP7	60	118	21	7	24	25
LOC100129843	0	0	0	0	0	0
LOC100129844	0	0	0	0	0	0
VN1R52P	0	0	0	0	0	0
KBTBD3	11	8	3	7	11	2
KBTBD4	4	6	8	17	3	10
KBTBD6	1	0	0	0	0	0
KBTBD2	91	85	75	110	154	53
OR7E14P	0	1	0	2	0	0
KBTBD7	1	0	3	1	0	0
KBTBD8	1	2	1	1	1	1
BACE1-AS	2	0	0	0	0	0
OR7E16P	0	0	0	0	0	0
IDI1	92	327	80	39	101	54
IDI2	0	0	0	0	0	0
OR7E19P	0	0	0	0	0	0
KLHDC10	177	328	176	150	201	123
MPST	65	102	87	39	53	528
IDH1	1712	4647	1368	546	2080	1509
IDH2	887	778	2544	2435	721	1429
TRPV2	63	13	43	112	41	95
IL21R-AS1	1	0	0	0	0	3
TRPV3	1	1	18	49	13	11
TRPV1	122	118	134	94	118	83
DGAT2L6	0	0	0	0	0	0
TRPV6	4	0	2	9	9	0
TRPV4	149	116	110	99	96	56
TRPV5	0	0	0	0	0	0
OR7E18P	0	0	0	0	0	0
LMO7-AS1	0	2	0	1	1	0
SEPT8	87	108	63	292	98	375
LOC100286962	0	0	0	0	0	0
SEPT9	333	792	506	1670	478	1910
SEPT6	170	350	154	308	224	232
SEPT7	748	669	500	850	791	258
TRPS1	56	82	9	78	62	12
TRPT1	50	35	38	55	25	75
SEPT1	48	1	20	96	46	13
SEPT4	237	105	127	81	209	77
SEPT5	7	35	2	60	9	73
SPECC1L-ADORA2A	127	255	134	143	230	197
SEPT2	842	801	769	2907	867	948
SEPT3	1	6	0	13	5	24
LOC105376899	0	0	0	0	0	0
LOC100286973	0	0	0	0	0	0
LOC105376898	0	1	1	0	0	3
PFDN1	18	20	8	28	15	11
LOC105376892	0	0	0	0	0	0
PFDN2	14	51	44	84	45	248
PFDN4	29	71	37	73	33	58
PFDN5	348	365	347	562	462	411
PFDN6	0	0	0	0	0	0
LOC105376890	0	0	0	0	0	0
SEPW1	184	47	68	477	54	657
LOC100286986	0	0	0	0	0	0
LOC100286992	0	0	0	0	0	0
LOC100286997	0	0	0	0	0	0
EHMT2	0	0	0	0	0	0
TRBV8-1	0	0	0	0	0	0
TMEM94	269	398	269	811	204	1977
EHMT1	290	242	416	806	405	1101
TRBV8-2	0	0	0	0	0	0
TMEM95	0	0	0	0	0	0
TMEM97	97	405	54	239	77	242
TMEM91	11	4	2	15	6	19
TMEM92	6	17	10	0	2	137
PSMD8	230	440	227	408	261	736
PSMD9	59	58	106	197	85	151
PSMD6	201	461	241	202	309	178
LOC650226	0	34	0	0	4	0
PSMD7	150	258	182	236	206	417
PSMD4	261	609	264	647	281	2715
PSMD5	162	115	130	215	148	257
TMEM88	3	1	0	0	0	2
TMEM89	0	0	0	0	0	0
PSMD2	518	1195	931	2035	660	3062
PSMD3	264	310	369	721	382	1001
TMEM8C	0	0	0	6	0	0
PSMD1	589	1283	733	1299	846	689
TMEM8A	211	226	237	443	150	790
TMEM8B	61	48	49	199	22	95
POLR3KP1	0	0	0	0	0	0
POLR3KP2	0	0	0	0	0	0
TMEM80	13	4	0	20	4	42
TMEM81	0	0	0	0	0	0
TMEM82	34	24	49	4	16	0
PSME3	134	157	141	331	157	402
TMEM79	3	5	0	10	4	44
PSME4	945	1693	1199	1388	1344	884
PSME1	443	770	823	1116	639	736
PSME2	379	881	798	941	583	743
IDNK	27	13	56	30	42	36
IDO2	49	13	108	2	81	0
IDO1	3	0	9	230	24	2
RHOXF1P1	0	0	0	0	0	1
RHOXF1P2	0	0	0	0	0	0
RHOXF1P3	0	0	0	0	0	0
TRS-CGA4-1	0	0	0	0	0	0
RN7SL101P	0	0	0	0	0	0
PSMF1	257	560	408	459	406	822
VN1R39P	0	0	0	0	0	0
TMEM98	57	52	24	25	43	228
RN7SL100P	0	0	0	0	0	0
TMEM99	6	0	1	12	1	16
HIF1A-AS1	0	0	0	0	0	0
PSMG3	8	16	4	41	6	101
HIF1A-AS2	0	0	0	0	0	0
PSMG4	9	10	19	17	9	43
PSMG1	77	79	72	115	101	92
PSMG2	124	153	87	174	129	60
TMEM9B	51	48	51	76	68	56
SNORD141B	0	0	0	0	0	0
SNORD141A	0	1	0	0	0	1
LOC100526838	0	0	0	0	0	0
LOC100526839	0	0	0	0	0	0
EFCAB3	0	0	0	0	0	0
TMEM51	7	3	3	48	10	17
TMEM52	3	4	0	2	0	7
EFCAB5	0	3	2	2	0	0
TMEM53	22	11	8	10	5	3
EFCAB6	47	14	19	36	36	3
EFCAB7	63	30	28	124	42	115
EFCAB8	6	8	0	0	6	3
EFCAB9	0	0	0	0	0	0
SNORD13P2	0	0	0	0	0	0
TMEM47	23	10	22	15	26	2
MIR3689A	0	0	0	0	0	0
TRMT112	73	47	73	195	74	313
SNORD13P3	0	0	0	0	0	0
SNORD13P1	0	0	0	0	0	0
TMEM43	209	217	137	508	189	430
TMEM44	25	13	17	172	18	81
EFCAB1	7	0	1	0	0	0
EFCAB2	22	24	20	57	28	10
MIR3689F	0	0	0	0	0	0
MIR3689E	0	0	0	0	0	0
MIR3689B	0	0	0	0	0	0
MIR3689C	0	0	0	0	0	0
TMEM40	0	0	0	0	1	3
TMEM42	0	0	0	1	0	0
PSMA5	216	350	291	219	356	489
TMEM37	17	1	4	22	1	26
PSMA6	255	648	338	601	436	419
MBLAC1	0	0	0	3	0	3
PSMA3	282	609	334	361	453	106
MBLAC2	9	3	9	0	6	5
PSMA4	332	605	479	669	591	254
PSMA1	347	596	394	594	513	451
PSMA2	290	287	225	209	259	121
TMEM33	236	597	243	317	257	383
KIF1BP	47	94	72	76	68	82
IDS2	4	3	0	2	0	0
LOC100526840	0	0	0	0	0	0
SMTNL2	0	0	0	1	0	0
LOC100526841	0	0	0	0	0	0
SMTNL1	0	0	0	0	0	0
GOT1L1	0	0	0	0	0	0
IDUA	42	139	27	169	29	352
COL11A1	1	0	0	48	1	446
ZNF518B	4	0	6	11	4	1
COL11A2	0	0	0	9	1	0
TMEM72	0	0	0	19	0	0
ZNF518A	38	29	15	16	23	40
TMEM74	0	2	0	2	0	2
TMEM75	0	0	0	0	0	0
LOC650293	0	0	0	0	0	0
TMEM70	22	28	21	31	18	27
PSMA7	201	427	322	475	230	600
LOC107984092	0	0	0	0	0	0
TMEM71	41	3	12	13	20	2
PSMA8	1	0	0	0	1	0
LOC107984098	0	0	0	0	0	0
TMEM69	45	19	22	63	23	30
PSMB6	120	107	229	214	123	199
PSMB7	255	260	276	408	324	424
PSMB4	661	1217	722	1378	703	2148
LOC107984097	0	0	0	0	0	0
PSMB5	60	124	72	129	60	272
PSMB2	233	234	198	425	223	261
TMEM65	28	36	22	144	43	160
PSMB3	37	29	6	5	2	9
TMEM67	66	48	38	221	45	7
FLJ32255	4	0	2	21	6	1
TMEM68	47	61	50	57	65	28
PSMB1	203	351	317	371	321	435
TRMT10A	29	18	27	9	20	11
TRMT10B	41	20	35	63	42	19
TRMT10C	5	2	1	11	3	11
TMEM61	1	0	0	0	0	0
HORMAD2-AS1	1	1	8	8	23	16
TMEM62	109	79	89	188	109	83
TMEM64	30	54	40	99	34	39
PSMB8	0	0	0	0	0	0
PSMB9	0	0	0	0	0	0
TMEM60	3	1	3	6	2	2
TMEM59	1138	1143	935	585	963	437
PSMC5	201	447	331	519	301	762
PSMC6	218	388	231	235	282	130
TMEM54	4	6	1	51	3	56
PSMC3	179	368	343	546	253	668
PSMC4	16	43	43	7	3	235
TMEM56	244	160	154	61	177	16
PSMC1	128	259	125	235	131	184
TMEM57	354	756	548	239	545	115
PSMC2	314	803	467	629	540	621
NOMO3	12	21	22	18	13	63
SESN3	308	352	106	86	168	52
SESN1	177	111	64	76	117	34
SESN2	61	63	37	49	38	79
LOC107984079	1	1	1	0	0	0
HDAC11-AS1	0	0	0	0	0	0
VN1R33P	0	0	0	0	0	0
NOMO1	56	169	37	56	45	123
NOMO2	120	197	149	222	84	384
UBALD1	1	6	9	8	12	43
UBALD2	4	13	10	58	12	168
LOC107984083	0	0	0	0	0	0
LOC107984087	0	0	0	0	0	0
LOC107984088	0	0	0	1	1	9
